level,trim_-5.0,trim_-4.0,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
0,12,9,6,4,3,2,1,0,0,13,26,40,54
10,6.6,3.9,1.4,-0.2,-0.8,-1,-1.1,-1,0,12.8,25.6,39.4,53.3
20,1.2,-1.2,-3.2,-4.4,-4.6,-4,-3.2,-2,0,12.6,25.2,38.8,52.6
30,-4.2,-6.3,-7.8,-8.6,-8.4,-7,-5.3,-3,0,12.4,24.8,38.2,51.9
40,-9.6,-11.4,-12.4,-12.8,-12.2,-10,-7.4,-4,0,12.2,24.4,37.6,51.2
50,-15,-16.5,-17,-17,-16,-13,-9.5,-5,0,12,24,37,50.5
60,-20.4,-21.6,-21.6,-21.2,-19.8,-16,-11.6,-6,0,11.8,23.6,36.4,49.8
70,-25.8,-26.7,-26.2,-25.4,-23.6,-19,-13.7,-7,0,11.6,23.2,35.8,49.1
80,-31.2,-31.8,-30.8,-29.6,-27.4,-22,-15.8,-8,0,11.4,22.8,35.2,48.4
90,-36.6,-36.9,-35.4,-33.8,-31.2,-25,-17.9,-9,0,11.2,22.4,34.6,47.7
100,-42,-42,-40,-38,-35,-28,-20,-10,0,11,22,34,47
110,-45.2,-44.6,-41.6,-39,-35.4,-28.2,-20.1,-10.1,0,11,22,34,46.8
120,-48.4,-47.2,-43.2,-40,-35.8,-28.4,-20.2,-10.2,0,11,22,34,46.6
130,-51.6,-49.8,-44.8,-41,-36.2,-28.6,-20.3,-10.3,0,11,22,34,46.4
140,-54.8,-52.4,-46.4,-42,-36.6,-28.8,-20.4,-10.4,0,11,22,34,46.2
150,-58,-55,-48,-43,-37,-29,-20.5,-10.5,0,11,22,34,46
160,-61.2,-57.6,-49.6,-44,-37.4,-29.2,-20.6,-10.6,0,11,22,34,45.8
170,-64.4,-60.2,-51.2,-45,-37.8,-29.4,-20.7,-10.7,0,11,22,34,45.6
180,-67.6,-62.8,-52.8,-46,-38.2,-29.6,-20.8,-10.8,0,11,22,34,45.4
190,-70.8,-65.4,-54.4,-47,-38.6,-29.8,-20.9,-10.9,0,11,22,34,45.2
200,-74,-68,-56,-48,-39,-30,-21,-11,0,11,22,34,45
210,-75.5,-68.7,-56.3,-48.2,-39.2,-30.1,-21,-11,0,11,22,33.9,45
220,-77,-69.4,-56.6,-48.4,-39.4,-30.2,-21,-11,0,11,22,33.8,45
230,-78.5,-70.1,-56.9,-48.6,-39.6,-30.3,-21,-11,0,11,22,33.7,45
240,-80,-70.8,-57.2,-48.8,-39.8,-30.4,-21,-11,0,11,22,33.6,45
250,-81.5,-71.5,-57.5,-49,-40,-30.5,-21,-11,0,11,22,33.5,45
260,-83,-72.2,-57.8,-49.2,-40.2,-30.6,-21,-11,0,11,22,33.4,45
270,-84.5,-72.9,-58.1,-49.4,-40.4,-30.7,-21,-11,0,11,22,33.3,45
280,-86,-73.6,-58.4,-49.6,-40.6,-30.8,-21,-11,0,11,22,33.2,45
290,-87.5,-74.3,-58.7,-49.8,-40.8,-30.9,-21,-11,0,11,22,33.1,45
300,-89,-75,-59,-50,-41,-31,-21,-11,0,11,22,33,45
310,-89.5,-75.3,-59.1,-50.1,-41,-31,-21,-11,0,11,22,33,44.9
320,-90,-75.6,-59.2,-50.2,-41,-31,-21,-11,0,11,22,33,44.8
330,-90.5,-75.9,-59.3,-50.3,-41,-31,-21,-11,0,11,22,33,44.7
340,-91,-76.2,-59.4,-50.4,-41,-31,-21,-11,0,11,22,33,44.6
350,-91.5,-76.5,-59.5,-50.5,-41,-31,-21,-11,0,11,22,33,44.5
360,-92,-76.8,-59.6,-50.6,-41,-31,-21,-11,0,11,22,33,44.4
370,-92.5,-77.1,-59.7,-50.7,-41,-31,-21,-11,0,11,22,33,44.3
380,-93,-77.4,-59.8,-50.8,-41,-31,-21,-11,0,11,22,33,44.2
390,-93.5,-77.7,-59.9,-50.9,-41,-31,-21,-11,0,11,22,33,44.1
400,-94,-78,-60,-51,-41,-31,-21,-11,0,11,22,33,44
410,-94.3,-78.1,-60.1,-51,-41,-31,-21,-11,0,11,22,33,44
