level,trim_-5.0,trim_-4.0,trim_-3.0,trim_-2.5,trim_-2.0,trim_-1.5,trim_-1.0,trim_-0.5,trim_0.0,trim_0.5,trim_1.0,trim_1.5,trim_2.0
0,11,8,5,4,3,2,1,0,0,13,27,41,54
10,5.5,2.8,0.3,-0.3,-0.9,-1.1,-1.1,-1.1,0,12.8,26.6,40.4,53.4
20,0,-2.4,-4.4,-4.6,-4.8,-4.2,-3.2,-2.2,0,12.6,26.2,39.8,52.8
30,-5.5,-7.6,-9.1,-8.9,-8.7,-7.3,-5.3,-3.3,0,12.4,25.8,39.2,52.2
40,-11,-12.8,-13.8,-13.2,-12.6,-10.4,-7.4,-4.4,0,12.2,25.4,38.6,51.6
50,-16.5,-18,-18.5,-17.5,-16.5,-13.5,-9.5,-5.5,0,12,25,38,51
60,-22,-23.2,-23.2,-21.8,-20.4,-16.6,-11.6,-6.6,0,11.8,24.6,37.4,50.4
70,-27.5,-28.4,-27.9,-26.1,-24.3,-19.7,-13.7,-7.7,0,11.6,24.2,36.8,49.8
80,-33,-33.6,-32.6,-30.4,-28.2,-22.8,-15.8,-8.8,0,11.4,23.8,36.2,49.2
90,-38.5,-38.8,-37.3,-34.7,-32.1,-25.9,-17.9,-9.9,0,11.2,23.4,35.6,48.6
100,-44,-44,-42,-39,-36,-29,-20,-11,0,11,23,35,48
110,-47.3,-46.5,-43.5,-40,-36.4,-29.2,-20.1,-11,0,11,23,34.9,47.8
120,-50.6,-49,-45,-41,-36.8,-29.4,-20.2,-11,0,11,23,34.8,47.6
130,-53.9,-51.5,-46.5,-42,-37.2,-29.6,-20.3,-11,0,11,23,34.7,47.4
140,-57.2,-54,-48,-43,-37.6,-29.8,-20.4,-11,0,11,23,34.6,47.2
150,-60.5,-56.5,-49.5,-44,-38,-30,-20.5,-11,0,11,23,34.5,47
160,-63.8,-59,-51,-45,-38.4,-30.2,-20.6,-11,0,11,23,34.4,46.8
170,-67.1,-61.5,-52.5,-46,-38.8,-30.4,-20.7,-11,0,11,23,34.3,46.6
180,-70.4,-64,-54,-47,-39.2,-30.6,-20.8,-11,0,11,23,34.2,46.4
190,-73.7,-66.5,-55.5,-48,-39.6,-30.8,-20.9,-11,0,11,23,34.1,46.2
200,-77,-69,-57,-49,-40,-31,-21,-11,0,11,23,34,46
210,-78.4,-69.8,-57.3,-49.2,-40.2,-31.1,-21,-11,0,11,22.9,34,46
220,-79.8,-70.6,-57.6,-49.4,-40.4,-31.2,-21,-11,0,11,22.8,34,46
230,-81.2,-71.4,-57.9,-49.6,-40.6,-31.3,-21,-11,0,11,22.7,34,46
240,-82.6,-72.2,-58.2,-49.8,-40.8,-31.4,-21,-11,0,11,22.6,34,46
250,-84,-73,-58.5,-50,-41,-31.5,-21,-11,0,11,22.5,34,46
260,-85.4,-73.8,-58.8,-50.2,-41.2,-31.6,-21,-11,0,11,22.4,34,46
270,-86.8,-74.6,-59.1,-50.4,-41.4,-31.7,-21,-11,0,11,22.3,34,46
280,-88.2,-75.4,-59.4,-50.6,-41.6,-31.8,-21,-11,0,11,22.2,34,46
290,-89.6,-76.2,-59.7,-50.8,-41.8,-31.9,-21,-11,0,11,22.1,34,46
300,-91,-77,-60,-51,-42,-32,-21,-11,0,11,22,34,46
310,-91.6,-77.3,-60.2,-51.1,-42,-32,-21.1,-11,0,11,22,34,46
320,-92.2,-77.6,-60.4,-51.2,-42,-32,-21.2,-11,0,11,22,34,46
330,-92.8,-77.9,-60.6,-51.3,-42,-32,-21.3,-11,0,11,22,34,46
340,-93.4,-78.2,-60.8,-51.4,-42,-32,-21.4,-11,0,11,22,34,46
350,-94,-78.5,-61,-51.5,-42,-32,-21.5,-11,0,11,22,34,46
360,-94.6,-78.8,-61.2,-51.6,-42,-32,-21.6,-11,0,11,22,34,46
370,-95.2,-79.1,-61.4,-51.7,-42,-32,-21.7,-11,0,11,22,34,46
380,-95.8,-79.4,-61.6,-51.8,-42,-32,-21.8,-11,0,11,22,34,46
390,-96.4,-79.7,-61.8,-51.9,-42,-32,-21.9,-11,0,11,22,34,46
400,-97,-80,-62,-52,-42,-32,-22,-11,0,11,22,34,46
