level,volume
0,0.137
10,0.225
20,0.39
30,0.607
40,0.866
50,1.162
60,1.491
70,1.85
80,2.238
90,2.653
100,3.093
110,3.557
120,4.046
130,4.557
140,5.09
150,5.644
160,6.219
170,6.813
180,7.426
190,8.059
200,8.71
210,9.378
220,10.065
230,10.768
240,11.489
250,12.226
260,12.98
270,13.75
280,14.534
290,15.335
300,16.151
310,16.982
320,17.828
330,18.689
340,19.564
350,20.454
360,21.358
370,22.275
380,23.207
390,24.152
400,25.111
410,26.084
420,27.069
430,28.068
440,29.08
450,30.105
460,31.142
470,32.192
480,33.251
490,34.323
500,35.407
510,36.503
520,37.611
530,38.732
540,39.864
550,41.009
560,42.165
570,43.332
580,44.511
590,45.702
600,46.904
610,48.117
620,49.341
630,50.576
640,51.822
650,53.083
660,54.354
670,55.636
680,56.929
690,58.232
700,59.546
710,60.87
720,62.205
730,63.55
740,64.905
750,66.271
760,67.647
770,69.033
780,70.429
790,71.835
800,73.251
810,74.676
820,76.112
830,77.557
840,79.012
850,80.477
860,81.951
870,83.435
880,84.929
890,86.431
900,87.943
910,89.465
920,90.996
930,92.536
940,94.085
950,95.643
960,97.211
970,98.787
980,100.373
990,101.967
1000,103.57
1010,105.182
1020,106.804
1030,108.433
1040,110.072
1050,111.719
1060,113.375
1070,115.04
1080,116.713
1090,118.395
1100,120.085
1110,121.783
1120,123.491
1130,125.206
1140,126.93
1150,128.662
1160,130.402
1170,132.151
1180,133.908
1190,135.673
1200,137.446
1210,139.227
1220,141.016
1230,142.812
1240,144.617
1250,146.429
1260,148.25
1270,150.079
1280,151.915
1290,153.759
1300,155.611
1310,157.47
1320,159.338
1330,161.213
1340,163.095
1350,164.985
1360,166.883
1370,168.789
1380,170.701
1390,172.622
1400,174.55
1410,176.485
1420,178.428
1430,180.378
1440,182.335
1450,184.3
1460,186.272
1470,188.251
1480,190.237
1490,192.231
1500,194.232
1510,196.239
1520,198.254
1530,200.277
1540,202.306
1550,204.342
1560,206.385
1570,208.435
1580,210.492
1590,212.556
1600,214.627
1610,216.705
1620,218.789
1630,220.881
1640,222.979
1650,225.084
1660,227.195
1670,229.314
1680,231.439
1690,233.57
1700,235.709
1710,237.854
1720,240.005
1730,242.163
1740,244.328
1750,246.499
1760,248.676
1770,250.861
1780,253.051
1790,255.248
1800,257.451
1810,259.661
1820,261.877
1830,264.099
1840,266.328
1850,268.562
1860,270.803
1870,273.051
1880,275.304
1890,277.564
1900,279.83
1910,282.102
1920,284.38
1930,286.664
1940,288.954
1950,291.25
1960,293.553
1970,295.861
1980,298.175
1990,300.495
2000,302.821
2010,305.154
2020,307.491
2030,309.835
2040,312.185
2050,314.54
2060,316.901
2070,319.268
2080,321.641
2090,324.02
2100,326.404
2110,328.794
2120,331.19
2130,333.591
2140,335.998
2150,338.41
2160,340.828
2170,343.252
2180,345.682
2190,348.116
2200,350.556
2210,353.002
2220,355.454
2230,357.91
2240,360.372
2250,362.84
2260,365.313
2270,367.791
2280,370.275
2290,372.764
2300,375.258
2310,377.758
2320,380.263
2330,382.773
2340,385.288
2350,387.809
2360,390.335
2370,392.866
2380,395.402
2390,397.944
2400,400.49
2410,403.042
2420,405.598
2430,408.16
2440,410.727
2450,413.299
2460,415.876
2470,418.457
2480,421.044
2490,423.636
2500,426.233
2510,428.834
2520,431.441
2530,434.053
2540,436.669
2550,439.29
2560,441.916
2570,444.547
2580,447.182
2590,449.823
2600,452.468
2610,455.118
2620,457.773
2630,460.432
2640,463.096
2650,465.765
2660,468.438
2670,471.116
2680,473.799
2690,476.486
2700,479.178
2710,481.874
2720,484.575
2730,487.281
2740,489.991
2750,492.705
2760,495.425
2770,498.148
2780,500.876
2790,503.608
2800,506.345
2810,509.086
2820,511.832
2830,514.582
2840,517.336
2850,520.095
2860,522.858
2870,525.625
2880,528.397
2890,531.173
2900,533.953
2910,536.737
2920,539.526
2930,542.319
2940,545.115
2950,547.917
2960,550.722
2970,553.531
2980,556.345
2990,559.162
3000,561.984
3010,564.81
3020,567.64
3030,570.474
3040,573.312
3050,576.154
3060,579
3070,581.85
3080,584.703
3090,587.561
3100,590.423
3110,593.289
3120,596.158
3130,599.032
3140,601.909
3150,604.79
3160,607.675
3170,610.564
3180,613.457
3190,616.353
3200,619.254
3210,622.158
3220,625.065
3230,627.977
3240,630.892
3250,633.811
3260,636.733
3270,639.66
3280,642.59
3290,645.523
3300,648.46
3310,651.401
3320,654.345
3330,657.293
3340,660.245
3350,663.2
3360,666.158
3370,669.12
3380,672.086
3390,675.055
3400,678.028
3410,681.004
3420,683.983
3430,686.966
3440,689.952
3450,692.942
3460,695.935
3470,698.931
3480,701.931
3490,704.934
3500,707.941
3510,710.95
3520,713.964
3530,716.98
3540,719.999
3550,723.022
3560,726.048
3570,729.078
3580,732.11
3590,735.146
3600,738.185
3610,741.227
3620,744.272
3630,747.32
3640,750.372
3650,753.426
3660,756.484
3670,759.544
3680,762.608
3690,765.675
3700,768.745
3710,771.818
3720,774.894
3730,777.972
3740,781.054
3750,784.139
3760,787.227
3770,790.317
3780,793.411
3790,796.508
3800,799.607
3810,802.709
3820,805.814
3830,808.922
3840,812.033
3850,815.146
3860,818.263
3870,821.382
3880,824.504
3890,827.629
3900,830.756
3910,833.887
3920,837.019
3930,840.155
3940,843.294
3950,846.435
3960,849.578
3970,852.725
3980,855.874
3990,859.025
4000,862.18
4010,865.336
4020,868.496
4030,871.658
4040,874.822
4050,877.989
4060,881.159
4070,884.331
4080,887.505
4090,890.682
4100,893.862
4110,897.044
4120,900.228
4130,903.416
4140,906.605
4150,909.796
4160,912.99
4170,916.187
4180,919.386
4190,922.587
4200,925.791
4210,928.996
4220,932.204
4230,935.415
4240,938.628
4250,941.843
4260,945.06
4270,948.279
4280,951.501
4290,954.725
4300,957.951
4310,961.179
4320,964.41
4330,967.642
4340,970.877
4350,974.114
4360,977.353
4370,980.594
4380,983.838
4390,987.083
4400,990.33
4410,993.58
4420,996.831
4430,1000.084
4440,1003.34
4450,1006.597
4460,1009.857
4470,1013.118
4480,1016.381
4490,1019.646
4500,1022.914
4510,1026.183
4520,1029.454
4530,1032.727
4540,1036.002
4550,1039.278
4560,1042.557
4570,1045.837
4580,1049.119
4590,1052.403
4600,1055.689
4610,1058.977
4620,1062.266
4630,1065.557
4640,1068.85
4650,1072.144
4660,1075.441
4670,1078.739
4680,1082.038
4690,1085.34
4700,1088.643
4710,1091.948
4720,1095.254
4730,1098.562
4740,1101.871
4750,1105.183
4760,1108.495
4770,1111.81
4780,1115.126
4790,1118.443
4800,1121.762
4810,1125.083
4820,1128.405
4830,1131.728
4840,1135.053
4850,1138.38
4860,1141.708
4870,1145.037
4880,1148.368
4890,1151.7
4900,1155.034
4910,1158.369
4920,1161.706
4930,1165.043
4940,1168.382
4950,1171.723
4960,1175.065
4970,1178.408
4980,1181.752
4990,1185.098
5000,1188.445
5010,1191.793
5020,1195.143
5030,1198.494
5040,1201.846
5050,1205.199
5060,1208.554
5070,1211.909
5080,1215.266
5090,1218.624
5100,1221.983
5110,1225.343
5120,1228.705
5130,1232.067
5140,1235.431
5150,1238.795
5160,1242.161
5170,1245.528
5180,1248.896
5190,1252.265
5200,1255.635
5210,1259.005
5220,1262.377
5230,1265.75
5240,1269.124
5250,1272.499
5260,1275.875
5270,1279.251
5280,1282.629
5290,1286.007
5300,1289.387
5310,1292.767
5320,1296.148
5330,1299.53
5340,1302.913
5350,1306.297
5360,1309.681
5370,1313.067
5380,1316.453
5390,1319.839
5400,1323.227
5410,1326.616
5420,1330.005
5430,1333.395
5440,1336.785
5450,1340.176
5460,1343.568
5470,1346.961
5480,1350.354
5490,1353.748
5500,1357.143
5510,1360.538
5520,1363.934
5530,1367.33
5540,1370.727
5550,1374.125
5560,1377.523
5570,1380.922
5580,1384.321
5590,1387.721
5600,1391.121
5610,1394.522
5620,1397.923
5630,1401.325
5640,1404.727
5650,1408.13
5660,1411.533
5670,1414.936
5680,1418.34
5690,1421.744
5700,1425.149
5710,1428.554
5720,1431.96
5730,1435.365
5740,1438.772
5750,1442.178
5760,1445.585
5770,1448.992
5780,1452.399
5790,1455.807
5800,1459.215
5810,1462.623
5820,1466.031
5830,1469.44
5840,1472.849
5850,1476.257
5860,1479.667
5870,1483.076
5880,1486.485
5890,1489.895
5900,1493.305
5910,1496.715
5920,1500.125
5930,1503.535
5940,1506.945
5950,1510.355
5960,1513.765
5970,1517.176
5980,1520.586
5990,1523.996
6000,1527.407
6010,1530.817
6020,1534.228
6030,1537.638
6040,1541.048
6050,1544.458
6060,1547.869
6070,1551.279
6080,1554.689
6090,1558.099
6100,1561.508
6110,1564.918
6120,1568.327
6130,1571.737
6140,1575.146
6150,1578.555
6160,1581.964
6170,1585.372
6180,1588.78
6190,1592.189
6200,1595.596
6210,1599.004
6220,1602.411
6230,1605.818
6240,1609.225
6250,1612.631
6260,1616.038
6270,1619.443
6280,1622.849
6290,1626.254
6300,1629.659
6310,1633.063
6320,1636.467
6330,1639.87
6340,1643.273
6350,1646.676
6360,1650.078
6370,1653.48
6380,1656.881
6390,1660.282
6400,1663.682
6410,1667.082
6420,1670.481
6430,1673.88
6440,1677.278
6450,1680.676
6460,1684.073
6470,1687.469
6480,1690.865
6490,1694.26
6500,1697.655
6510,1701.049
6520,1704.442
6530,1707.835
6540,1711.227
6550,1714.618
6560,1718.009
6570,1721.398
6580,1724.787
6590,1728.176
6600,1731.563
6610,1734.95
6620,1738.336
6630,1741.722
6640,1745.106
6650,1748.49
6660,1751.872
6670,1755.255
6680,1758.636
6690,1762.016
6700,1765.395
6710,1768.774
6720,1772.151
6730,1775.528
6740,1778.904
6750,1782.279
6760,1785.652
6770,1789.025
6780,1792.397
6790,1795.768
6800,1799.138
6810,1802.507
6820,1805.875
6830,1809.241
6840,1812.607
6850,1815.972
6860,1819.335
6870,1822.698
6880,1826.059
6890,1829.419
6900,1832.778
6910,1836.136
6920,1839.493
6930,1842.849
6940,1846.203
6950,1849.556
6960,1852.908
6970,1856.259
6980,1859.609
6990,1862.957
7000,1866.304
7010,1869.65
7020,1872.994
7030,1876.337
7040,1879.679
7050,1883.02
7060,1886.359
7070,1889.696
7080,1893.033
7090,1896.368
7100,1899.702
7110,1903.034
7120,1906.365
7130,1909.694
7140,1913.022
7150,1916.349
7160,1919.674
7170,1922.997
7180,1926.319
7190,1929.64
7200,1932.959
7210,1936.276
7220,1939.592
7230,1942.906
