level,list_-3.0,list_-2.5,list_-2.0,list_-1.5,list_-1.0,list_-0.5,list_0.0,list_0.5,list_1.0,list_1.5,list_2.0,list_2.5,list_3.0
0,21,16,12,8,4,1,0,0,0,0,0,0,0
10,21,16,12,8,4.1,1.1,0,-0.2,-0.3,-0.4,-0.5,-0.5,-0.5
20,21,16,12,8,4.2,1.2,0,-0.4,-0.6,-0.8,-1,-1,-1
30,21,16,12,8,4.3,1.3,0,-0.6,-0.9,-1.2,-1.5,-1.5,-1.5
40,21,16,12,8,4.4,1.4,0,-0.8,-1.2,-1.6,-2,-2,-2
50,21,16,12,8,4.5,1.5,0,-1,-1.5,-2,-2.5,-2.5,-2.5
60,21,16,12,8,4.6,1.6,0,-1.2,-1.8,-2.4,-3,-3,-3
70,21,16,12,8,4.7,1.7,0,-1.4,-2.1,-2.8,-3.5,-3.5,-3.5
80,21,16,12,8,4.8,1.8,0,-1.6,-2.4,-3.2,-4,-4,-4
90,21,16,12,8,4.9,1.9,0,-1.8,-2.7,-3.6,-4.5,-4.5,-4.5
100,21,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
110,21,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
120,21,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
130,21,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
140,21,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
150,21,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
160,21,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
170,21,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
180,21,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
190,21,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
200,21,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
210,20.9,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
220,20.8,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
230,20.7,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
240,20.6,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
250,20.5,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
260,20.4,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
270,20.3,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
280,20.2,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
290,20.1,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
300,20,16,12,8,5,2,0,-2,-3,-4,-5,-5,-5
