level,press_-1.0,press_-0.5,press_0.0,press_0.5,press_1.0,press_1.5,press_2.0,press_2.5,press_3.0,press_3.5,press_4.0,press_5.0,press_6.0
0,-2,-1,0,1,2,3,4,5,6,7,8,10,12
10,-2,-1,0,1,2,3,4,5,6,7,8,10,12
20,-2,-1,0,1,2,3,4,5,6,7,8,10,12
30,-2,-1,0,1,2,3,4,5,6,7,8,10,12
40,-2,-1,0,1,2,3,4,5,6,7,8,10,12
50,-2,-1,0,1,2,3,4,5,6,7,8,10,12
60,-2,-1,0,1,2,3,4,5,6,7,8,10,12
70,-2,-1,0,1,2,3,4,5,6,7,8,10,12
80,-2,-1,0,1,2,3,4,5,6,7,8,10,12
90,-2,-1,0,1,2,3,4,5,6,7,8,10,12
100,-2,-1,0,1,2,3,4,5,6,7,8,10,12
110,-2,-1,0,1,2,3,4,5,6,7,8,10,12
120,-2,-1,0,1,2,3,4,5,6,7,8,10,12
130,-2,-1,0,1,2,3,4,5,6,7,8,10,12
140,-2,-1,0,1,2,3,4,5,6,7,8,10,12
150,-2,-1,0,1,2,3,4,5,6,7,8,10,12
160,-2,-1,0,1,2,3,4,5,6,7,8,10,12
170,-2,-1,0,1,2,3,4,5,6,7,8,10,12
180,-2,-1,0,1,2,3,4,5,6,7,8,10,12
190,-2,-1,0,1,2,3,4,5,6,7,8,10,12
200,-2,-1,0,1,2,3,4,5,6,7,8,10,12
210,-2,-1,0,1,2,3,4,5,6,7,8,10,12
220,-2,-1,0,1,2,3,4,5,6,7,8,10,12
230,-2,-1,0,1,2,3,4,5,6,7,8,10,12
240,-2,-1,0,1,2,3,4,5,6,7,8,10,12
250,-2,-1,0,1,2,3,4,5,6,7,8,10,12
260,-2,-1,0,1,2,3,4,5,6,7,8,10,12
270,-2,-1,0,1,2,3,4,5,6,7,8,10,12
280,-2,-1,0,1,2,3,4,5,6,7,8,10,12
290,-2,-1,0,1,2,3,4,5,6,7,8,10,12
300,-2,-1,0,1,2,3,4,5,6,7,8,10,12
310,-2,-1,0,1,2,3,4,5,6,7,8,10,12
320,-2,-1,0,1,2,3,4,5,6,7,8,10,12
330,-2,-1,0,1,2,3,4,5,6,7,8,10,12
340,-2,-1,0,1,2,3,4,5,6,7,8,10,12
350,-2,-1,0,1,2,3,4,5,6,7,8,10,12
360,-2,-1,0,1,2,3,4,5,6,7,8,10,12
370,-2,-1,0,1,2,3,4,5,6,7,8,10,12
380,-2,-1,0,1,2,3,4,5,6,7,8,10,12
390,-2,-1,0,1,2,3,4,5,6,7,8,10,12
400,-2,-1,0,1,2,3,4,5,6,7,8,10,12
410,-2,-1,0,1,2,3,4,5,6,7,8,10,12
420,-2,-1,0,1,2,3,4,5,6,7,8,10,12
430,-2,-1,0,1,2,3,4,5,6,7,8,10,12
440,-2,-1,0,1,2,3,4,5,6,7,8,10,12
450,-2,-1,0,1,2,3,4,5,6,7,8,10,12
460,-2,-1,0,1,2,3,4,5,6,7,8,10,12
470,-2,-1,0,1,2,3,4,5,6,7,8,10,12
480,-2,-1,0,1,2,3,4,5,6,7,8,10,12
490,-2,-1,0,1,2,3,4,5,6,7,8,10,12
500,-2,-1,0,1,2,3,4,5,6,7,8,10,12
510,-2,-1,0,1,2,3,4,5,6,7,8,10,12
520,-2,-1,0,1,2,3,4,5,6,7,8,10,12
530,-2,-1,0,1,2,3,4,5,6,7,8,10,12
540,-2,-1,0,1,2,3,4,5,6,7,8,10,12
550,-2,-1,0,1,2,3,4,5,6,7,8,10,12
560,-2,-1,0,1,2,3,4,5,6,7,8,10,12
570,-2,-1,0,1,2,3,4,5,6,7,8,10,12
580,-2,-1,0,1,2,3,4,5,6,7,8,10,12
590,-2,-1,0,1,2,3,4,5,6,7,8,10,12
600,-2,-1,0,1,2,3,4,5,6,7,8,10,12
610,-2,-1,0,1,2,3,4,5,6,7,8,10,12
620,-2,-1,0,1,2,3,4,5,6,7,8,10,12
630,-2,-1,0,1,2,3,4,5,6,7,8,10,12
640,-2,-1,0,1,2,3,4,5,6,7,8,10,12
650,-2,-1,0,1,2,3,4,5,6,7,8,10,12
660,-2,-1,0,1,2,3,4,5,6,7,8,10,12
670,-2,-1,0,1,2,3,4,5,6,7,8,10,12
680,-2,-1,0,1,2,3,4,5,6,7,8,10,12
690,-2,-1,0,1,2,3,4,5,6,7,8,10,12
700,-2,-1,0,1,2,3,4,5,6,7,8,10,12
710,-2,-1,0,1,2,3,4,5,6,7,8,10,12
720,-2,-1,0,1,2,3,4,5,6,7,8,10,12
730,-2,-1,0,1,2,3,4,5,6,7,8,10,12
740,-2,-1,0,1,2,3,4,5,6,7,8,10,12
750,-2,-1,0,1,2,3,4,5,6,7,8,10,12
760,-2,-1,0,1,2,3,4,5,6,7,8,10,12
770,-2,-1,0,1,2,3,4,5,6,7,8,10,12
780,-2,-1,0,1,2,3,4,5,6,7,8,10,12
790,-2,-1,0,1,2,3,4,5,6,7,8,10,12
800,-2,-1,0,1,2,3,4,5,6,7,8,10,12
810,-2,-1,0,1,2,3,4,5,6,7,8,10,12
820,-2,-1,0,1,2,3,4,5,6,7,8,10,12
830,-2,-1,0,1,2,3,4,5,6,7,8,10,12
840,-2,-1,0,1,2,3,4,5,6,7,8,10,12
850,-2,-1,0,1,2,3,4,5,6,7,8,10,12
860,-2,-1,0,1,2,3,4,5,6,7,8,10,12
870,-2,-1,0,1,2,3,4,5,6,7,8,10,12
880,-2,-1,0,1,2,3,4,5,6,7,8,10,12
890,-2,-1,0,1,2,3,4,5,6,7,8,10,12
900,-2,-1,0,1,2,3,4,5,6,7,8,10,12
910,-2,-1,0,1,2,3,4,5,6,7,8,10,12
920,-2,-1,0,1,2,3,4,5,6,7,8,10,12
930,-2,-1,0,1,2,3,4,5,6,7,8,10,12
940,-2,-1,0,1,2,3,4,5,6,7,8,10,12
950,-2,-1,0,1,2,3,4,5,6,7,8,10,12
960,-2,-1,0,1,2,3,4,5,6,7,8,10,12
970,-2,-1,0,1,2,3,4,5,6,7,8,10,12
980,-2,-1,0,1,2,3,4,5,6,7,8,10,12
990,-2,-1,0,1,2,3,4,5,6,7,8,10,12
1000,-2,-1,0,1,2,3,4,5,6,7,8,10,12
1010,-2,-1,0,1,2,3,4,5,6,6.98,7.98,9.98,11.98
1020,-2,-1,0,1,2,3,4,5,6,6.96,7.96,9.96,11.96
1030,-2,-1,0,1,2,3,4,5,6,6.94,7.94,9.94,11.94
1040,-2,-1,0,1,2,3,4,5,6,6.92,7.92,9.92,11.92
1050,-2,-1,0,1,2,3,4,5,6,6.9,7.9,9.9,11.9
1060,-2,-1,0,1,2,3,4,5,6,6.88,7.88,9.88,11.88
1070,-2,-1,0,1,2,3,4,5,6,6.86,7.86,9.86,11.86
1080,-2,-1,0,1,2,3,4,5,6,6.84,7.84,9.84,11.84
1090,-2,-1,0,1,2,3,4,5,6,6.82,7.82,9.82,11.82
1100,-2,-1,0,1,2,3,4,5,6,6.8,7.8,9.8,11.8
1110,-2,-1,0,1,2,3,4,5,6,6.78,7.78,9.78,11.78
1120,-2,-1,0,1,2,3,4,5,6,6.76,7.76,9.76,11.76
1130,-2,-1,0,1,2,3,4,5,6,6.74,7.74,9.74,11.74
1140,-2,-1,0,1,2,3,4,5,6,6.72,7.72,9.72,11.72
1150,-2,-1,0,1,2,3,4,5,6,6.7,7.7,9.7,11.7
1160,-2,-1,0,1,2,3,4,5,6,6.68,7.68,9.68,11.68
1170,-2,-1,0,1,2,3,4,5,6,6.66,7.66,9.66,11.66
1180,-2,-1,0,1,2,3,4,5,6,6.64,7.64,9.64,11.64
1190,-2,-1,0,1,2,3,4,5,6,6.62,7.62,9.62,11.62
1200,-2,-1,0,1,2,3,4,5,6,6.6,7.6,9.6,11.6
1210,-2,-1,0,1,2,3,4,5,6,6.58,7.58,9.58,11.58
1220,-2,-1,0,1,2,3,4,5,6,6.56,7.56,9.56,11.56
1230,-2,-1,0,1,2,3,4,5,6,6.54,7.54,9.54,11.54
1240,-2,-1,0,1,2,3,4,5,6,6.52,7.52,9.52,11.52
1250,-2,-1,0,1,2,3,4,5,6,6.5,7.5,9.5,11.5
1260,-2,-1,0,1,2,3,4,5,6,6.48,7.48,9.48,11.48
1270,-2,-1,0,1,2,3,4,5,6,6.46,7.46,9.46,11.46
1280,-2,-1,0,1,2,3,4,5,6,6.44,7.44,9.44,11.44
1290,-2,-1,0,1,2,3,4,5,6,6.42,7.42,9.42,11.42
1300,-2,-1,0,1,2,3,4,5,6,6.4,7.4,9.4,11.4
1310,-2,-1,0,1,2,3,4,5,6,6.38,7.38,9.38,11.38
1320,-2,-1,0,1,2,3,4,5,6,6.36,7.36,9.36,11.36
1330,-2,-1,0,1,2,3,4,5,6,6.34,7.34,9.34,11.34
1340,-2,-1,0,1,2,3,4,5,6,6.32,7.32,9.32,11.32
1350,-2,-1,0,1,2,3,4,5,6,6.3,7.3,9.3,11.3
1360,-2,-1,0,1,2,3,4,5,6,6.28,7.28,9.28,11.28
1370,-2,-1,0,1,2,3,4,5,6,6.26,7.26,9.26,11.26
1380,-2,-1,0,1,2,3,4,5,6,6.24,7.24,9.24,11.24
1390,-2,-1,0,1,2,3,4,5,6,6.22,7.22,9.22,11.22
1400,-2,-1,0,1,2,3,4,5,6,6.2,7.2,9.2,11.2
1410,-2,-1,0,1,2,3,4,5,6,6.18,7.18,9.18,11.18
1420,-2,-1,0,1,2,3,4,5,6,6.16,7.16,9.16,11.16
1430,-2,-1,0,1,2,3,4,5,6,6.14,7.14,9.14,11.14
1440,-2,-1,0,1,2,3,4,5,6,6.12,7.12,9.12,11.12
1450,-2,-1,0,1,2,3,4,5,6,6.1,7.1,9.1,11.1
1460,-2,-1,0,1,2,3,4,5,6,6.08,7.08,9.08,11.08
1470,-2,-1,0,1,2,3,4,5,6,6.06,7.06,9.06,11.06
1480,-2,-1,0,1,2,3,4,5,6,6.04,7.04,9.04,11.04
1490,-2,-1,0,1,2,3,4,5,6,6.02,7.02,9.02,11.02
1500,-2,-1,0,1,2,3,4,5,6,6,7,9,11
1510,-2,-1,0,1,2,3,4,4.98,5.98,6,7,9,11
1520,-2,-1,0,1,2,3,4,4.96,5.96,6,7,9,11
1530,-2,-1,0,1,2,3,4,4.94,5.94,6,7,9,11
1540,-2,-1,0,1,2,3,4,4.92,5.92,6,7,9,11
1550,-2,-1,0,1,2,3,4,4.9,5.9,6,7,9,11
1560,-2,-1,0,1,2,3,4,4.88,5.88,6,7,9,11
1570,-2,-1,0,1,2,3,4,4.86,5.86,6,7,9,11
1580,-2,-1,0,1,2,3,4,4.84,5.84,6,7,9,11
1590,-2,-1,0,1,2,3,4,4.82,5.82,6,7,9,11
1600,-2,-1,0,1,2,3,4,4.8,5.8,6,7,9,11
1610,-2,-1,0,1,2,3,4,4.78,5.78,6,7,9,11
1620,-2,-1,0,1,2,3,4,4.76,5.76,6,7,9,11
1630,-2,-1,0,1,2,3,4,4.74,5.74,6,7,9,11
1640,-2,-1,0,1,2,3,4,4.72,5.72,6,7,9,11
1650,-2,-1,0,1,2,3,4,4.7,5.7,6,7,9,11
1660,-2,-1,0,1,2,3,4,4.68,5.68,6,7,9,11
1670,-2,-1,0,1,2,3,4,4.66,5.66,6,7,9,11
1680,-2,-1,0,1,2,3,4,4.64,5.64,6,7,9,11
1690,-2,-1,0,1,2,3,4,4.62,5.62,6,7,9,11
1700,-2,-1,0,1,2,3,4,4.6,5.6,6,7,9,11
1710,-2,-1,0,1,2,3,4,4.58,5.58,6,7,9,11
1720,-2,-1,0,1,2,3,4,4.56,5.56,6,7,9,11
1730,-2,-1,0,1,2,3,4,4.54,5.54,6,7,9,11
1740,-2,-1,0,1,2,3,4,4.52,5.52,6,7,9,11
1750,-2,-1,0,1,2,3,4,4.5,5.5,6,7,9,11
1760,-2,-1,0,1,2,3,4,4.48,5.48,6,7,9,11
1770,-2,-1,0,1,2,3,4,4.46,5.46,6,7,9,11
1780,-2,-1,0,1,2,3,4,4.44,5.44,6,7,9,11
1790,-2,-1,0,1,2,3,4,4.42,5.42,6,7,9,11
1800,-2,-1,0,1,2,3,4,4.4,5.4,6,7,9,11
1810,-2,-1,0,1,2,3,4,4.38,5.38,6,7,9,11
1820,-2,-1,0,1,2,3,4,4.36,5.36,6,7,9,11
1830,-2,-1,0,1,2,3,4,4.34,5.34,6,7,9,11
1840,-2,-1,0,1,2,3,4,4.32,5.32,6,7,9,11
1850,-2,-1,0,1,2,3,4,4.3,5.3,6,7,9,11
1860,-2,-1,0,1,2,3,4,4.28,5.28,6,7,9,11
1870,-2,-1,0,1,2,3,4,4.26,5.26,6,7,9,11
1880,-2,-1,0,1,2,3,4,4.24,5.24,6,7,9,11
1890,-2,-1,0,1,2,3,4,4.22,5.22,6,7,9,11
1900,-2,-1,0,1,2,3,4,4.2,5.2,6,7,9,11
1910,-2,-1,0,1,2,3,4,4.18,5.18,6,7,9,11
1920,-2,-1,0,1,2,3,4,4.16,5.16,6,7,9,11
1930,-2,-1,0,1,2,3,4,4.14,5.14,6,7,9,11
1940,-2,-1,0,1,2,3,4,4.12,5.12,6,7,9,11
1950,-2,-1,0,1,2,3,4,4.1,5.1,6,7,9,11
1960,-2,-1,0,1,2,3,4,4.08,5.08,6,7,9,11
1970,-2,-1,0,1,2,3,4,4.06,5.06,6,7,9,11
1980,-2,-1,0,1,2,3,4,4.04,5.04,6,7,9,11
1990,-2,-1,0,1,2,3,4,4.02,5.02,6,7,9,11
2000,-2,-1,0,1,2,3,4,4,5,6,7,9,11
2010,-2,-1,0,1,2,3,3.98,4,5,6,7,8.98,10.98
2020,-2,-1,0,1,2,3,3.96,4,5,6,7,8.96,10.96
2030,-2,-1,0,1,2,3,3.94,4,5,6,7,8.94,10.94
2040,-2,-1,0,1,2,3,3.92,4,5,6,7,8.92,10.92
2050,-2,-1,0,1,2,3,3.9,4,5,6,7,8.9,10.9
2060,-2,-1,0,1,2,3,3.88,4,5,6,7,8.88,10.88
2070,-2,-1,0,1,2,3,3.86,4,5,6,7,8.86,10.86
2080,-2,-1,0,1,2,3,3.84,4,5,6,7,8.84,10.84
2090,-2,-1,0,1,2,3,3.82,4,5,6,7,8.82,10.82
2100,-2,-1,0,1,2,3,3.8,4,5,6,7,8.8,10.8
2110,-2,-1,0,1,2,3,3.78,4,5,6,7,8.78,10.78
2120,-2,-1,0,1,2,3,3.76,4,5,6,7,8.76,10.76
2130,-2,-1,0,1,2,3,3.74,4,5,6,7,8.74,10.74
2140,-2,-1,0,1,2,3,3.72,4,5,6,7,8.72,10.72
2150,-2,-1,0,1,2,3,3.7,4,5,6,7,8.7,10.7
2160,-2,-1,0,1,2,3,3.68,4,5,6,7,8.68,10.68
2170,-2,-1,0,1,2,3,3.66,4,5,6,7,8.66,10.66
2180,-2,-1,0,1,2,3,3.64,4,5,6,7,8.64,10.64
2190,-2,-1,0,1,2,3,3.62,4,5,6,7,8.62,10.62
2200,-2,-1,0,1,2,3,3.6,4,5,6,7,8.6,10.6
2210,-2,-1,0,1,2,3,3.58,4,5,6,7,8.58,10.58
2220,-2,-1,0,1,2,3,3.56,4,5,6,7,8.56,10.56
2230,-2,-1,0,1,2,3,3.54,4,5,6,7,8.54,10.54
2240,-2,-1,0,1,2,3,3.52,4,5,6,7,8.52,10.52
2250,-2,-1,0,1,2,3,3.5,4,5,6,7,8.5,10.5
2260,-2,-1,0,1,2,3,3.48,4,5,6,7,8.48,10.48
2270,-2,-1,0,1,2,3,3.46,4,5,6,7,8.46,10.46
2280,-2,-1,0,1,2,3,3.44,4,5,6,7,8.44,10.44
2290,-2,-1,0,1,2,3,3.42,4,5,6,7,8.42,10.42
2300,-2,-1,0,1,2,3,3.4,4,5,6,7,8.4,10.4
2310,-2,-1,0,1,2,3,3.38,4,5,6,7,8.38,10.38
2320,-2,-1,0,1,2,3,3.36,4,5,6,7,8.36,10.36
2330,-2,-1,0,1,2,3,3.34,4,5,6,7,8.34,10.34
2340,-2,-1,0,1,2,3,3.32,4,5,6,7,8.32,10.32
2350,-2,-1,0,1,2,3,3.3,4,5,6,7,8.3,10.3
2360,-2,-1,0,1,2,3,3.28,4,5,6,7,8.28,10.28
2370,-2,-1,0,1,2,3,3.26,4,5,6,7,8.26,10.26
2380,-2,-1,0,1,2,3,3.24,4,5,6,7,8.24,10.24
2390,-2,-1,0,1,2,3,3.22,4,5,6,7,8.22,10.22
2400,-2,-1,0,1,2,3,3.2,4,5,6,7,8.2,10.2
2410,-2,-1,0,1,2,3,3.18,4,5,6,7,8.18,10.18
2420,-2,-1,0,1,2,3,3.16,4,5,6,7,8.16,10.16
2430,-2,-1,0,1,2,3,3.14,4,5,6,7,8.14,10.14
2440,-2,-1,0,1,2,3,3.12,4,5,6,7,8.12,10.12
2450,-2,-1,0,1,2,3,3.1,4,5,6,7,8.1,10.1
2460,-2,-1,0,1,2,3,3.08,4,5,6,7,8.08,10.08
2470,-2,-1,0,1,2,3,3.06,4,5,6,7,8.06,10.06
2480,-2,-1,0,1,2,3,3.04,4,5,6,7,8.04,10.04
2490,-2,-1,0,1,2,3,3.02,4,5,6,7,8.02,10.02
2500,-2,-1,0,1,2,3,3,4,5,6,7,8,10
2510,-2,-1,0,1,2,2.98,3,4,5,6,6.98,8,10
2520,-2,-1,0,1,2,2.96,3,4,5,6,6.96,8,10
2530,-2,-1,0,1,2,2.94,3,4,5,6,6.94,8,10
2540,-2,-1,0,1,2,2.92,3,4,5,6,6.92,8,10
2550,-2,-1,0,1,2,2.9,3,4,5,6,6.9,8,10
2560,-2,-1,0,1,2,2.88,3,4,5,6,6.88,8,10
2570,-2,-1,0,1,2,2.86,3,4,5,6,6.86,8,10
2580,-2,-1,0,1,2,2.84,3,4,5,6,6.84,8,10
2590,-2,-1,0,1,2,2.82,3,4,5,6,6.82,8,10
2600,-2,-1,0,1,2,2.8,3,4,5,6,6.8,8,10
2610,-2,-1,0,1,2,2.78,3,4,5,6,6.78,8,10
2620,-2,-1,0,1,2,2.76,3,4,5,6,6.76,8,10
2630,-2,-1,0,1,2,2.74,3,4,5,6,6.74,8,10
2640,-2,-1,0,1,2,2.72,3,4,5,6,6.72,8,10
2650,-2,-1,0,1,2,2.7,3,4,5,6,6.7,8,10
2660,-2,-1,0,1,2,2.68,3,4,5,6,6.68,8,10
2670,-2,-1,0,1,2,2.66,3,4,5,6,6.66,8,10
2680,-2,-1,0,1,2,2.64,3,4,5,6,6.64,8,10
2690,-2,-1,0,1,2,2.62,3,4,5,6,6.62,8,10
2700,-2,-1,0,1,2,2.6,3,4,5,6,6.6,8,10
2710,-2,-1,0,1,2,2.58,3,4,5,6,6.58,8,10
2720,-2,-1,0,1,2,2.56,3,4,5,6,6.56,8,10
2730,-2,-1,0,1,2,2.54,3,4,5,6,6.54,8,10
2740,-2,-1,0,1,2,2.52,3,4,5,6,6.52,8,10
2750,-2,-1,0,1,2,2.5,3,4,5,6,6.5,8,10
2760,-2,-1,0,1,2,2.48,3,4,5,6,6.48,8,10
2770,-2,-1,0,1,2,2.46,3,4,5,6,6.46,8,10
2780,-2,-1,0,1,2,2.44,3,4,5,6,6.44,8,10
2790,-2,-1,0,1,2,2.42,3,4,5,6,6.42,8,10
2800,-2,-1,0,1,2,2.4,3,4,5,6,6.4,8,10
2810,-2,-1,0,1,2,2.38,3,4,5,6,6.38,8,10
2820,-2,-1,0,1,2,2.36,3,4,5,6,6.36,8,10
2830,-2,-1,0,1,2,2.34,3,4,5,6,6.34,8,10
2840,-2,-1,0,1,2,2.32,3,4,5,6,6.32,8,10
2850,-2,-1,0,1,2,2.3,3,4,5,6,6.3,8,10
2860,-2,-1,0,1,2,2.28,3,4,5,6,6.28,8,10
2870,-2,-1,0,1,2,2.26,3,4,5,6,6.26,8,10
2880,-2,-1,0,1,2,2.24,3,4,5,6,6.24,8,10
2890,-2,-1,0,1,2,2.22,3,4,5,6,6.22,8,10
2900,-2,-1,0,1,2,2.2,3,4,5,6,6.2,8,10
2910,-2,-1,0,1,2,2.18,3,4,5,6,6.18,8,10
2920,-2,-1,0,1,2,2.16,3,4,5,6,6.16,8,10
2930,-2,-1,0,1,2,2.14,3,4,5,6,6.14,8,10
2940,-2,-1,0,1,2,2.12,3,4,5,6,6.12,8,10
2950,-2,-1,0,1,2,2.1,3,4,5,6,6.1,8,10
2960,-2,-1,0,1,2,2.08,3,4,5,6,6.08,8,10
2970,-2,-1,0,1,2,2.06,3,4,5,6,6.06,8,10
2980,-2,-1,0,1,2,2.04,3,4,5,6,6.04,8,10
2990,-2,-1,0,1,2,2.02,3,4,5,6,6.02,8,10
3000,-2,-1,0,1,2,2,3,4,5,6,6,8,10
3010,-2,-1,0,1,2,2,3,4,5,5.98,6,8,9.98
3020,-2,-1,0,1,2,2,3,4,5,5.96,6,8,9.96
3030,-2,-1,0,1,2,2,3,4,5,5.94,6,8,9.94
3040,-2,-1,0,1,2,2,3,4,5,5.92,6,8,9.92
3050,-2,-1,0,1,2,2,3,4,5,5.9,6,8,9.9
3060,-2,-1,0,1,2,2,3,4,5,5.88,6,8,9.88
3070,-2,-1,0,1,2,2,3,4,5,5.86,6,8,9.86
3080,-2,-1,0,1,2,2,3,4,5,5.84,6,8,9.84
3090,-2,-1,0,1,2,2,3,4,5,5.82,6,8,9.82
3100,-2,-1,0,1,2,2,3,4,5,5.8,6,8,9.8
3110,-2,-1,0,1,2,2,3,4,5,5.78,6,8,9.78
3120,-2,-1,0,1,2,2,3,4,5,5.76,6,8,9.76
3130,-2,-1,0,1,2,2,3,4,5,5.74,6,8,9.74
3140,-2,-1,0,1,2,2,3,4,5,5.72,6,8,9.72
3150,-2,-1,0,1,2,2,3,4,5,5.7,6,8,9.7
3160,-2,-1,0,1,2,2,3,4,5,5.68,6,8,9.68
3170,-2,-1,0,1,2,2,3,4,5,5.66,6,8,9.66
3180,-2,-1,0,1,2,2,3,4,5,5.64,6,8,9.64
3190,-2,-1,0,1,2,2,3,4,5,5.62,6,8,9.62
3200,-2,-1,0,1,2,2,3,4,5,5.6,6,8,9.6
3210,-2,-1,0,1,2,2,3,4,5,5.58,6,8,9.58
3220,-2,-1,0,1,2,2,3,4,5,5.56,6,8,9.56
