Press,pcorr
-1,0.999728
-0.9,0.999755
-0.8,0.999782
-0.7,0.99981
-0.6,0.999837
-0.5,0.999864
-0.4,0.999891
-0.3,0.999918
-0.2,0.999946
-0.1,0.999973
0,1
0.1,1.000027
0.2,1.000054
0.3,1.000082
0.4,1.000109
0.5,1.000136
0.6,1.000163
0.7,1.00019
0.8,1.000218
0.9,1.000245
1,1.000272
1.1,1.000299
1.2,1.000326
1.3,1.000353
1.4,1.000381
1.5,1.000408
1.6,1.000435
1.7,1.000462
1.8,1.000489
1.9,1.000517
2,1.000544
2.1,1.000571
2.2,1.000598
2.3,1.000625
2.4,1.000653
2.5,1.00068
2.6,1.000707
2.7,1.000734
2.8,1.000761
2.9,1.000789
3,1.000816
3.1,1.000843
3.2,1.00087
3.3,1.000897
3.4,1.000924
3.5,1.000952
3.6,1.000979
3.7,1.001006
3.8,1.001033
3.9,1.00106
4,1.001088
4.1,1.001115
4.2,1.001142
4.3,1.001169
4.4,1.001196
4.5,1.001224
4.6,1.001251
4.7,1.001278
4.8,1.001305
4.9,1.001332
5,1.001359
5.1,1.001387
5.2,1.001414
5.3,1.001441
5.4,1.001468
5.5,1.001495
5.6,1.001523
5.7,1.00155
5.8,1.001577
5.9,1.001604
6,1.001631
