level,temp_-170.0,temp_-165.0,temp_-160.0,temp_-155.0,temp_-150.0,temp_-145.0,temp_-140.0,temp_-135.0,temp_-130.0,temp_-125.0,temp_-120.0,temp_-115.0,temp_-110.0,temp_-105.0,temp_-100.0,temp_-95.0,temp_-90.0,temp_-85.0,temp_-80.0,temp_-75.0,temp_-70.0,temp_-65.0,temp_-60.0,temp_-55.0,temp_-50.0,temp_-45.0,temp_-40.0,temp_-35.0,temp_-30.0,temp_-25.0,temp_-20.0,temp_-15.0,temp_-10.0,temp_-5.0,temp_0.0,temp_5.0,temp_10.0,temp_15.0,temp_20.0,temp_25.0,temp_30.0,temp_35.0,temp_40.0,temp_45.0,temp_50.0
0,-22,-22,-21,-21,-20,-19,-19,-18,-18,-17,-16,-16,-15,-15,-14,-14,-13,-12,-12,-11,-11,-10,-9,-9,-8,-8,-7,-6,-6,-5,-5,-4,-4,-3,-2,-2,-1,-1,0,1,1,2,2,3,4
10,-22,-21.98,-20.98,-20.98,-19.98,-19,-18.98,-18,-17.98,-16.98,-16,-15.98,-15,-14.98,-14,-13.98,-12.98,-12,-11.98,-11,-10.98,-10,-9,-8.98,-8,-7.98,-7,-6,-6,-5,-5,-4,-3.98,-3,-2,-2,-1,-1,0,1,1,2,2,3,3.98
20,-22,-21.96,-20.96,-20.96,-19.96,-19,-18.96,-18,-17.96,-16.96,-16,-15.96,-15,-14.96,-14,-13.96,-12.96,-12,-11.96,-11,-10.96,-10,-9,-8.96,-8,-7.96,-7,-6,-6,-5,-5,-4,-3.96,-3,-2,-2,-1,-1,0,1,1,2,2,3,3.96
30,-22,-21.94,-20.94,-20.94,-19.94,-19,-18.94,-18,-17.94,-16.94,-16,-15.94,-15,-14.94,-14,-13.94,-12.94,-12,-11.94,-11,-10.94,-10,-9,-8.94,-8,-7.94,-7,-6,-6,-5,-5,-4,-3.94,-3,-2,-2,-1,-1,0,1,1,2,2,3,3.94
40,-22,-21.92,-20.92,-20.92,-19.92,-19,-18.92,-18,-17.92,-16.92,-16,-15.92,-15,-14.92,-14,-13.92,-12.92,-12,-11.92,-11,-10.92,-10,-9,-8.92,-8,-7.92,-7,-6,-6,-5,-5,-4,-3.92,-3,-2,-2,-1,-1,0,1,1,2,2,3,3.92
50,-22,-21.9,-20.9,-20.9,-19.9,-19,-18.9,-18,-17.9,-16.9,-16,-15.9,-15,-14.9,-14,-13.9,-12.9,-12,-11.9,-11,-10.9,-10,-9,-8.9,-8,-7.9,-7,-6,-6,-5,-5,-4,-3.9,-3,-2,-2,-1,-1,0,1,1,2,2,3,3.9
60,-22,-21.88,-20.88,-20.88,-19.88,-19,-18.88,-18,-17.88,-16.88,-16,-15.88,-15,-14.88,-14,-13.88,-12.88,-12,-11.88,-11,-10.88,-10,-9,-8.88,-8,-7.88,-7,-6,-6,-5,-5,-4,-3.88,-3,-2,-2,-1,-1,0,1,1,2,2,3,3.88
70,-22,-21.86,-20.86,-20.86,-19.86,-19,-18.86,-18,-17.86,-16.86,-16,-15.86,-15,-14.86,-14,-13.86,-12.86,-12,-11.86,-11,-10.86,-10,-9,-8.86,-8,-7.86,-7,-6,-6,-5,-5,-4,-3.86,-3,-2,-2,-1,-1,0,1,1,2,2,3,3.86
80,-22,-21.84,-20.84,-20.84,-19.84,-19,-18.84,-18,-17.84,-16.84,-16,-15.84,-15,-14.84,-14,-13.84,-12.84,-12,-11.84,-11,-10.84,-10,-9,-8.84,-8,-7.84,-7,-6,-6,-5,-5,-4,-3.84,-3,-2,-2,-1,-1,0,1,1,2,2,3,3.84
90,-22,-21.82,-20.82,-20.82,-19.82,-19,-18.82,-18,-17.82,-16.82,-16,-15.82,-15,-14.82,-14,-13.82,-12.82,-12,-11.82,-11,-10.82,-10,-9,-8.82,-8,-7.82,-7,-6,-6,-5,-5,-4,-3.82,-3,-2,-2,-1,-1,0,1,1,2,2,3,3.82
100,-22,-21.8,-20.8,-20.8,-19.8,-19,-18.8,-18,-17.8,-16.8,-16,-15.8,-15,-14.8,-14,-13.8,-12.8,-12,-11.8,-11,-10.8,-10,-9,-8.8,-8,-7.8,-7,-6,-6,-5,-5,-4,-3.8,-3,-2,-2,-1,-1,0,1,1,2,2,3,3.8
110,-22,-21.78,-20.78,-20.78,-19.78,-19,-18.78,-18,-17.78,-16.78,-16,-15.78,-15,-14.78,-14,-13.78,-12.78,-12,-11.78,-11,-10.78,-10,-9,-8.78,-8,-7.78,-7,-6,-6,-5,-5,-4,-3.78,-3,-2,-2,-1,-1,0,1,1,2,2,3,3.78
120,-22,-21.76,-20.76,-20.76,-19.76,-19,-18.76,-18,-17.76,-16.76,-16,-15.76,-15,-14.76,-14,-13.76,-12.76,-12,-11.76,-11,-10.76,-10,-9,-8.76,-8,-7.76,-7,-6,-6,-5,-5,-4,-3.76,-3,-2,-2,-1,-1,0,1,1,2,2,3,3.76
130,-22,-21.74,-20.74,-20.74,-19.74,-19,-18.74,-18,-17.74,-16.74,-16,-15.74,-15,-14.74,-14,-13.74,-12.74,-12,-11.74,-11,-10.74,-10,-9,-8.74,-8,-7.74,-7,-6,-6,-5,-5,-4,-3.74,-3,-2,-2,-1,-1,0,1,1,2,2,3,3.74
