level,volume
0,0.137
10,0.226
20,0.393
30,0.611
40,0.872
50,1.17
60,1.501
70,1.863
80,2.253
90,2.669
100,3.112
110,3.578
120,4.069
130,4.582
140,5.118
150,5.674
160,6.251
170,6.847
180,7.463
190,8.097
200,8.75
210,9.421
220,10.109
230,10.815
240,11.538
250,12.277
260,13.033
270,13.805
280,14.591
290,15.394
300,16.212
310,17.045
320,17.893
330,18.755
340,19.633
350,20.524
360,21.43
370,22.35
380,23.283
390,24.23
400,25.191
410,26.165
420,27.153
430,28.153
440,29.167
450,30.193
460,31.232
470,32.284
480,33.345
490,34.418
500,35.504
510,36.602
520,37.712
530,38.834
540,39.968
550,41.114
560,42.271
570,43.441
580,44.621
590,45.813
600,47.017
610,48.231
620,49.457
630,50.694
640,51.941
650,53.203
660,54.476
670,55.759
680,57.053
690,58.358
700,59.673
710,60.999
720,62.335
730,63.681
740,65.038
750,66.405
760,67.782
770,69.17
780,70.567
790,71.974
800,73.391
810,74.818
820,76.255
830,77.702
840,79.158
850,80.624
860,82.099
870,83.584
880,85.079
890,86.583
900,88.096
910,89.618
920,91.15
930,92.691
940,94.242
950,95.801
960,97.37
970,98.947
980,100.534
990,102.129
1000,103.733
1010,105.347
1020,106.969
1030,108.599
1040,110.239
1050,111.887
1060,113.544
1070,115.21
1080,116.884
1090,118.566
1100,120.258
1110,121.957
1120,123.665
1130,125.381
1140,127.106
1150,128.839
1160,130.58
1170,132.329
1180,134.087
1190,135.853
1200,137.627
1210,139.409
1220,141.198
1230,142.996
1240,144.801
1250,146.614
1260,148.436
1270,150.265
1280,152.102
1290,153.947
1300,155.799
1310,157.659
1320,159.527
1330,161.403
1340,163.286
1350,165.177
1360,167.076
1370,168.982
1380,170.895
1390,172.816
1400,174.745
1410,176.68
1420,178.624
1430,180.574
1440,182.532
1450,184.497
1460,186.47
1470,188.45
1480,190.436
1490,192.431
1500,194.432
1510,196.44
1520,198.456
1530,200.478
1540,202.508
1550,204.545
1560,206.588
1570,208.639
1580,210.696
1590,212.761
1600,214.832
1610,216.91
1620,218.995
1630,221.087
1640,223.185
1650,225.29
1660,227.403
1670,229.521
1680,231.647
1690,233.779
1700,235.917
1710,238.062
1720,240.214
1730,242.373
1740,244.538
1750,246.709
1760,248.887
1770,251.071
1780,253.262
1790,255.459
1800,257.662
1810,259.872
1820,262.088
1830,264.311
1840,266.54
1850,268.775
1860,271.016
1870,273.264
1880,275.517
1890,277.777
1900,280.043
1910,282.315
1920,284.593
1930,286.878
1940,289.168
1950,291.464
1960,293.767
