level,list_-6.0,list_-5.0,list_-4.0,list_-3.0,list_-2.0,list_-1.0,list_0.0,list_1.0,list_2.0,list_3.0,list_4.0,list_5.0,list_6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.019,0.029,0.042,0.057,0.073
0.01,-0.009,-0.0095,-0.0095,-0.0085,-0.0065,-0.004,0.0,0.008,0.018000000000000002,0.029,0.042,0.057,0.073
0.02,-0.018,-0.019,-0.019,-0.017,-0.013,-0.008,0.0,0.008,0.017,0.029,0.042,0.057,0.073
0.03,-0.0175,-0.0185,-0.018000000000000002,-0.016,-0.0125,-0.0075,0.0,0.008,0.0175,0.0295,0.042499999999999996,0.057,0.073
0.04,-0.017,-0.018,-0.017,-0.015,-0.012,-0.007,0.0,0.008,0.018,0.03,0.043,0.057,0.073
0.05,-0.0175,-0.0185,-0.0175,-0.0155,-0.012,-0.007,0.0,0.008,0.018,0.03,0.043,0.057,0.073
0.06,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0.0,0.008,0.018,0.03,0.043,0.057,0.073
0.07,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0.0,0.008,0.018,0.03,0.043,0.057,0.073
0.08,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0.0,0.008,0.018,0.03,0.043,0.057,0.073
0.09,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0.0,0.008,0.018,0.03,0.042499999999999996,0.057,0.073
0.1,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0.0,0.008,0.018,0.03,0.042,0.057,0.073
0.11,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0.0,0.008,0.018,0.0299,0.042,0.0569,0.07289999999999999
0.12,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0.0,0.008,0.018,0.0298,0.042,0.0568,0.07279999999999999
0.13,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0.0,0.008,0.018,0.0297,0.042,0.0567,0.0727
0.14,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0.0,0.008,0.018,0.0296,0.042,0.056600000000000004,0.0726
0.15,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0.0,0.008,0.018,0.0295,0.042,0.0565,0.0725
0.16,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0.0,0.008,0.018,0.0294,0.042,0.0564,0.07239999999999999
0.17,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0.0,0.008,0.018,0.0293,0.042,0.0563,0.07229999999999999
0.18,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0.0,0.008,0.018,0.0292,0.042,0.0562,0.0722
0.19,-0.018,-0.019,-0.018,-0.016,-0.012,-0.007,0.0,0.008,0.018,0.0291,0.042,0.056100000000000004,0.0721
